instruction,reference,prediction,latency_sec
Is acatalasemia inherited ?,"Acatalasemia has an autosomal recessive pattern of inheritance, which means both copies of the CAT gene in each cell have mutations. When both copies of the gene are altered, the activity of catalase is reduced to less than 10 percent of normal. When only one of the two copies of the CAT gene has a mutation, the activity of catalase is reduced by approximately half. This reduction in catalase activity is often called hypocatalasemia. Like acatalasemia, hypocatalasemia usually does not cause any health problems.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",4.718313222999996
What are the treatments for Pompe Disease ?,"Individuals with Pompe disease are best treated by a team of specialists (such as cardiologist, neurologist, and respiratory therapist) knowledgeable about the disease, who can offer supportive and symptomatic care. The discovery of the GAA gene has led to rapid progress in understanding the biological mechanisms and properties of the GAA enzyme. As a result, an enzyme replacement therapy has been developed that has shown, in clinical trials with infantile-onset patients, to decrease heart size, maintain normal heart function, improve muscle function, tone, and strength, and reduce glycogen accumulation. A drug called alglucosidase alfa (Myozyme), has received FDA approval for the treatment of infants and children with Pompe disease. Another algluosidase alfa drug, Lumizyme, has been approved for late-onset (non-infantile) Pompe disease.","There is no cure for Pompe disease. Treatment focuses on managing symptoms and preventing complications. Medications may be used to treat muscle weakness, heart problems, and breathing difficulties. Physical therapy can help maintain strength and mobility.",2.6947506779999912
How to diagnose Hemoglobin E disease ?,"How is hemoglobin E disease diagnosed? Many babies are picked up through state newborn screening programs. A diagnosis is usually made by looking at the red blood cells by doing a Mean Corpuscular Volume (MCV) test, which is commonly part of a Complete Blood Count (CBC) test. More specialized tests, such as a hemoglobin electrophoresis and iron studies might be done. These tests indicate whether a person has different types of hemoglobin. Genetic testing of the HBB gene can also be done to confirm a diagnosis.","Is genetic testing available for hemoglobin E disease? Yes. Genetic testing is available for hemoglobin E disease. This test can be used to confirm a diagnosis of the condition, determine the risk that an individual or family member will have children with the condition, and guide treatment decisions. The type of genetic testing offered depends on whether you are interested in learning about your own carrier status (whether or not you carry one or more mutated genes) or if you would like to know the genetic status of your child or other relatives. Carrier testing involves analyzing DNA from a blood sample taken by a phlebotomist at a medical facility or through mail order. If you are pregnant, you may also be able to get this test done during routine prenatal care visits. Prenatal testing is available for pregnancies where there is a known affected parent. Umbilical cord blood sampling and amniocentesis are two types of prenatal tests that can detect mutations associated with hemoglobin E disease. A second type of prenatal test called chorionic villus sampling (CVS) can also detect these mutations. However, CVS carries a small risk of miscarriage compared to umbilical cord blood sampling and amniocentesis. To learn more about genetic testing options for hemoglobin E disease,",15.936770303999992
What is the outlook for Friedreich's Ataxia ?,"Generally, within 15 to 20 years after the appearance of the first symptoms, the person is confined to a wheelchair, and in later stages of the disease, individuals may become completely incapacitated. Friedreich's ataxia can shorten life expectancy; heart disease is the most common cause of death. Many individuals with Friedreich's ataxia die in early adulthood, but some people with less severe symptoms live into their 60s, 70s, or longer.","The prognosis of FA varies from person to person. Some people with FA have a normal life expectancy, while others may die in childhood or early adulthood due to complications such as heart failure and respiratory problems.",2.579604626000105
What are the symptoms of Atrial septal defect ostium primum ?,"What are the signs and symptoms of Atrial septal defect ostium primum? The Human Phenotype Ontology provides the following list of signs and symptoms for Atrial septal defect ostium primum. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Atria septal defect - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Atrial septal defect ostium primum? The Human Phenotype Ontology provides the following list of signs and symptoms for Atrial septal defect ostium primum. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the aortic valve 90% Atria septal defect 90% Atrioventricular canal defect 90% Cleft palate 90% Cognitive impairment 90% Hypertelorism 90% Low-set, posteriorly rotated ears 90% Muscular hypotonia 90% Narrow mouth 90% Short stature 90% Ventriculomegaly 90% Abnormality of the pulmonary artery 50% Abnormality of the ribs 50% Brachydactyly syndrome 50% Camptodactyly of finger 50% Cryptorchidism 50% Hearing impairment 50% Hepatomegaly 5",15.777660706999995
What causes Mitochondrial genetic disorders ?,"What causes mitochondrial genetic disorders? Mitochondrial genetic disorders can be caused by changes (mutations) in either the mitochondrial DNA or nuclear DNA that lead to dysfunction of the mitochondria. Most DNA (hereditary material that is passed from parent to child) is packaged within the nucleus of each cell (known as nuclear DNA). However, mitochondria (the structures in each cell that produce energy) contain a small amount of their own DNA, which is known as mitochondrial DNA. When the mitochondria are not working properly, the body does not have enough energy to carry out its normal functions. This can lead to the variety of health problems associated with mitochondrial genetic disorders.","What causes mitochondrial genetic disorders? Mutations in the mtDNA can cause mitochondrial diseases. These mutations are inherited from a parent and passed on to offspring. In some cases, the mutation is present only in certain cells of the body (such as muscle or brain cells). This type of condition is called a nuclear-mitochondrial imbalance.",4.340317822999964
What causes Felty's syndrome ?,"What causes Felty's syndrome? The exact cause of Felty's syndrome is unknown, although several causes and risk factors have been proposed. Some experts believe it may be an autoimmune disorder, and that it may sometimes be inherited in an autosomal dominant manner. Other proposed risk factors have included: RF (rheumatoid factor) positivity - being positive for a test used to help diagnose rheumatoid arthritis Long-term rheumatoid arthritis Aggressive and erosive synovitis (inflammation of the tissue that lines the joints) HLA-DR4 positivity (having a specific gene for the immune system that is associated with RA) and DR4 homozygosity (having 2 identical copies of this gene) Extra-articular RA manifestations (symptoms that are not joint-related)","What causes Felty's syndrome? The exact cause of Felty's syndrome is unknown. However, it has been suggested that the condition may be associated with an autoimmune disorder called rheumatoid arthritis. In this disease, the body's immune system attacks its own tissues and organs. Researchers have found evidence to suggest that people who develop Felty's syndrome are more likely than those without the condition to have a genetic predisposition for developing rheumatoid arthritis or other autoimmune disorders.",5.93553121399998
What are the treatments for oculopharyngeal muscular dystrophy ?,These resources address the diagnosis or management of oculopharyngeal muscular dystrophy: - Gene Review: Gene Review: Oculopharyngeal Muscular Dystrophy - Genetic Testing Registry: Oculopharyngeal muscular dystrophy - MedlinePlus Encyclopedia: Ptosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,These resources address the diagnosis or management of oculopharyngeal muscular dystrophy: - Gene Review: Gene Review: Oculopharyngeal Muscular Dystrophy - Genetic Testing Registry: Oculopharyngeal muscular dystrophy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,5.390705711999999
What is the outlook for Gestational Trophoblastic Disease ?,"Certain factors affect prognosis (chance of recovery) and treatment options. Gestational trophoblastic disease usually can be cured. Treatment and prognosis depend on the following: - The type of GTD. - Whether the tumor has spread to the uterus, lymph nodes, or distant parts of the body. - The number of tumors and where they are in the body. - The size of the largest tumor. - The level of -hCG in the blood. - How soon the tumor was diagnosed after the pregnancy began. - Whether GTD occurred after a molar pregnancy, miscarriage, or normal pregnancy. - Previous treatment for gestational trophoblastic neoplasia. Treatment options also depend on whether the woman wishes to become pregnant in the future.","The prognosis of gestational trophoblastic disease depends on whether it has spread to other parts of the body. If the cancer remains localized, treatment can be curative and most women survive. However, if the cancer spreads to other organs or tissues in the body, the prognosis is poor.",3.760801227999991
Is Gillespie syndrome inherited ?,"In some cases, including those in which Gillespie syndrome is caused by PAX6 gene mutations, the condition occurs in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Some affected individuals inherit the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family. Gillespie syndrome can also be inherited in an autosomal recessive pattern, which means both copies of a gene in each cell have mutations. The gene or genes involved in these cases are unknown. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",3.726051560000087
