instruction,reference,prediction,latency_sec
Is acatalasemia inherited ?,"Acatalasemia has an autosomal recessive pattern of inheritance, which means both copies of the CAT gene in each cell have mutations. When both copies of the gene are altered, the activity of catalase is reduced to less than 10 percent of normal. When only one of the two copies of the CAT gene has a mutation, the activity of catalase is reduced by approximately half. This reduction in catalase activity is often called hypocatalasemia. Like acatalasemia, hypocatalasemia usually does not cause any health problems.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",3.561772805000146
What are the treatments for Pompe Disease ?,"Individuals with Pompe disease are best treated by a team of specialists (such as cardiologist, neurologist, and respiratory therapist) knowledgeable about the disease, who can offer supportive and symptomatic care. The discovery of the GAA gene has led to rapid progress in understanding the biological mechanisms and properties of the GAA enzyme. As a result, an enzyme replacement therapy has been developed that has shown, in clinical trials with infantile-onset patients, to decrease heart size, maintain normal heart function, improve muscle function, tone, and strength, and reduce glycogen accumulation. A drug called alglucosidase alfa (Myozyme), has received FDA approval for the treatment of infants and children with Pompe disease. Another algluosidase alfa drug, Lumizyme, has been approved for late-onset (non-infantile) Pompe disease.","Treatment of Pompe disease is symptomatic and supportive. Physical therapy, including stretching exercises to maintain muscle tone, may be helpful in preventing contractures (stiff joints). Medications that reduce pain and spasticity can also help. In some cases, a team approach involving specialists from different medical disciplines is needed to provide comprehensive care. This team typically includes a pediatrician or other primary care doctor; a cardiologist; an orthopedist; a neurologist; a physical therapist; and a dietitian.",5.757999360001122
How to diagnose Hemoglobin E disease ?,"How is hemoglobin E disease diagnosed? Many babies are picked up through state newborn screening programs. A diagnosis is usually made by looking at the red blood cells by doing a Mean Corpuscular Volume (MCV) test, which is commonly part of a Complete Blood Count (CBC) test. More specialized tests, such as a hemoglobin electrophoresis and iron studies might be done. These tests indicate whether a person has different types of hemoglobin. Genetic testing of the HBB gene can also be done to confirm a diagnosis.","What tests are used in the diagnosis of hemoglobin E disease? The diagnosis of hemoglobin E disease is based on a combination of clinical findings and laboratory testing. Clinical findings include: - A family history of hemoglobin E disease or other forms of thalassemia - Anemia, which may be mild to severe depending on the severity of the condition - Jaundice (yellowing of the skin and whites of the eyes) - Pale appearance - Fatigue - Shortness of breath - Paleness of the skin and mucous membranes - Enlarged spleen - Abnormal heart rhythms - High blood pressure - Low levels of iron in the blood - Elevated levels of ferritin, an iron storage protein, in the blood - Elevated levels of serum haptoglobin, a protein that binds to excess iron in red blood cells - Elevated levels of serum ferritin-binding globulin, another protein that binds to excess iron in red blood cells - Elevated levels of serum transferrin saturation, a measure of how much iron is bound to red blood cells - Elevated levels of serum alpha-globulin, a protein found in red blood cells - Elevated levels of serum beta-hemoglobin, a protein produced by abnormal hemoglobin E gene mutations - Elevated levels of serum bilirubin",14.345448034999208
What is the outlook for Friedreich's Ataxia ?,"Generally, within 15 to 20 years after the appearance of the first symptoms, the person is confined to a wheelchair, and in later stages of the disease, individuals may become completely incapacitated. Friedreich's ataxia can shorten life expectancy; heart disease is the most common cause of death. Many individuals with Friedreich's ataxia die in early adulthood, but some people with less severe symptoms live into their 60s, 70s, or longer.","The average life expectancy of people with FA is 20 to 30 years. The disease progresses slowly, and most individuals are able to live a normal lifespan until late adulthood. However, many people with FA have difficulty walking and may require assistance from others in later stages of the disease.",3.4091806359992916
What are the symptoms of Atrial septal defect ostium primum ?,"What are the signs and symptoms of Atrial septal defect ostium primum? The Human Phenotype Ontology provides the following list of signs and symptoms for Atrial septal defect ostium primum. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Atria septal defect - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Atrial septal defect ostium primum? The Human Phenotype Ontology provides the following list of signs and symptoms for Atrial septal defect ostium primum. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Atrioventricular canal defect 90% Patent ductus arteriosus 90% Ventricular septal defect 90% Abnormality of cardiac conduction system 50% Congestive heart failure 50% Hypertrophic cardiomyopathy 50% Pulmonary hypertension 50% Tetralogy of Fallot 50% Atrial septal defect ostium primum - Autosomal dominant inheritance - Bicuspid aortic valve - Cerebral ischemia - Cyanosis - Dilated cardiomyopathy - Failure to thrive - Heart murmur - Hypertension - Hypoplasia of the pulmonary artery - Patent ductus arteriosus - Pulmonary regurgitation - Recurrent respiratory infections - Short stature - Ventricular hypertrophy",14.427845850999802
What causes Mitochondrial genetic disorders ?,"What causes mitochondrial genetic disorders? Mitochondrial genetic disorders can be caused by changes (mutations) in either the mitochondrial DNA or nuclear DNA that lead to dysfunction of the mitochondria. Most DNA (hereditary material that is passed from parent to child) is packaged within the nucleus of each cell (known as nuclear DNA). However, mitochondria (the structures in each cell that produce energy) contain a small amount of their own DNA, which is known as mitochondrial DNA. When the mitochondria are not working properly, the body does not have enough energy to carry out its normal functions. This can lead to the variety of health problems associated with mitochondrial genetic disorders.","What causes mitochondrial genetic disorders? Mitochondria are the energy-producing centers of cells. They contain their own DNA, which is passed from mother to child in mitochondria. The genes that make up this DNA provide instructions for making proteins and enzymes that help produce ATP (adenosine triphosphate), a molecule used by cells as an energy source. Mutations in these genes can cause problems with the production of ATP or other cellular processes. These mutations may be inherited from one parent or occur spontaneously during cell division. In some cases, it's not clear how the mutation leads to the signs and symptoms of the disorder.",6.959930588000134
What causes Felty's syndrome ?,"What causes Felty's syndrome? The exact cause of Felty's syndrome is unknown, although several causes and risk factors have been proposed. Some experts believe it may be an autoimmune disorder, and that it may sometimes be inherited in an autosomal dominant manner. Other proposed risk factors have included: RF (rheumatoid factor) positivity - being positive for a test used to help diagnose rheumatoid arthritis Long-term rheumatoid arthritis Aggressive and erosive synovitis (inflammation of the tissue that lines the joints) HLA-DR4 positivity (having a specific gene for the immune system that is associated with RA) and DR4 homozygosity (having 2 identical copies of this gene) Extra-articular RA manifestations (symptoms that are not joint-related)","What causes Felty's syndrome? The exact cause of Felty's syndrome is unknown. However, it has been suggested that the condition may be associated with an autoimmune disorder in which the immune system mistakenly attacks healthy cells and tissues in the body. In this case, the immune system would attack white blood cells (leukocytes) in the bone marrow, leading to a decrease in these cells. It is also possible that other factors such as infection or inflammation could trigger the development of Felty's syndrome.",5.705074784000317
What are the treatments for oculopharyngeal muscular dystrophy ?,These resources address the diagnosis or management of oculopharyngeal muscular dystrophy: - Gene Review: Gene Review: Oculopharyngeal Muscular Dystrophy - Genetic Testing Registry: Oculopharyngeal muscular dystrophy - MedlinePlus Encyclopedia: Ptosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,These resources address the diagnosis or management of oculopharyngeal muscular dystrophy: - Genetic Testing Registry: Oculopharyngeal muscular dystrophy These resources from MedlinePlus offer information about the care and treatment of various health conditions: - Health Care Provider's Guide to Consumer Health - Patient's Guide to Health Care - Patient's Guide to Rehabilitation These resources from MedlinePlus offer additional information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,6.136052541998652
What is the outlook for Gestational Trophoblastic Disease ?,"Certain factors affect prognosis (chance of recovery) and treatment options. Gestational trophoblastic disease usually can be cured. Treatment and prognosis depend on the following: - The type of GTD. - Whether the tumor has spread to the uterus, lymph nodes, or distant parts of the body. - The number of tumors and where they are in the body. - The size of the largest tumor. - The level of -hCG in the blood. - How soon the tumor was diagnosed after the pregnancy began. - Whether GTD occurred after a molar pregnancy, miscarriage, or normal pregnancy. - Previous treatment for gestational trophoblastic neoplasia. Treatment options also depend on whether the woman wishes to become pregnant in the future.","GTD can be cured with chemotherapy. The prognosis depends on the type of GTD and how well it responds to treatment. For example, a woman who has had one or more previous pregnancies may have a better chance of surviving than a woman who has never been pregnant.",3.0490836320004746
Is Gillespie syndrome inherited ?,"In some cases, including those in which Gillespie syndrome is caused by PAX6 gene mutations, the condition occurs in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Some affected individuals inherit the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family. Gillespie syndrome can also be inherited in an autosomal recessive pattern, which means both copies of a gene in each cell have mutations. The gene or genes involved in these cases are unknown. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",3.313376171001437
